--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [178/10000] | C Loss: -11.7941 | G Loss: 375.3759 | Style Loss: 1.5716 | Corr Loss: 0.4092 | Time: 6.55s
Epoch [179/10000] | C Loss: -11.6463 | G Loss: 405.0721 | Style Loss: 1.6686 | Corr Loss: 0.4496 | Time: 6.55s
Epoch [180/10000] | C Loss: -11.7124 | G Loss: 385.9622 | Style Loss: 1.5128 | Corr Loss: 0.4413 | Time: 6.56s
Epoch [181/10000] | C Loss: -11.6551 | G Loss: 412.8336 | Style Loss: 1.7167 | Corr Loss: 0.4547 | Time: 6.58s
Epoch [182/10000] | C Loss: -11.6032 | G Loss: 381.5577 | Style Loss: 1.4106 | Corr Loss: 0.4545 | Time: 6.56s
Epoch [183/10000] | C Loss: -11.6378 | G Loss: 395.4651 | Style Loss: 1.5329 | Corr Loss: 0.4582 | Time: 6.57s
Epoch [184/10000] | C Loss: -11.6877 | G Loss: 389.2586 | Style Loss: 1.5372 | Corr Loss: 0.4441 | Time: 6.56s
Epoch [185/10000] | C Loss: -11.6886 | G Loss: 365.0104 | Style Loss: 1.4430 | Corr Loss: 0.4154 | Time: 6.56s
Epoch [186/10000] | C Loss: -11.7866 | G Loss: 353.5591 | Style Loss: 1.4875 | Corr Loss: 0.3827 | Time: 6.57s
Epoch [187/10000] | C Loss: -11.6633 | G Loss: 340.9510 | Style Loss: 1.4531 | Corr Loss: 0.3642 | Time: 6.56s
Epoch [188/10000] | C Loss: -11.5859 | G Loss: 384.9432 | Style Loss: 1.7045 | Corr Loss: 0.4015 | Time: 6.56s
Epoch [189/10000] | C Loss: -11.5225 | G Loss: 351.9674 | Style Loss: 1.3678 | Corr Loss: 0.4021 | Time: 6.57s
