--- Project directories are set up. ---
--- Starting HFS-GAN Training (v24 Final Solution) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [122/10000] | C Loss: -1.3721 | G Loss: 328.7844 | Vol Loss: 0.0201 | Corr Loss: 0.4546 | Time: 6.56s
Epoch [123/10000] | C Loss: -1.3484 | G Loss: 313.5905 | Vol Loss: 0.0205 | Corr Loss: 0.4343 | Time: 6.55s
Epoch [124/10000] | C Loss: -1.2552 | G Loss: 297.7654 | Vol Loss: 0.0202 | Corr Loss: 0.4016 | Time: 6.57s
Epoch [125/10000] | C Loss: -1.4329 | G Loss: 340.7551 | Vol Loss: 0.0206 | Corr Loss: 0.5071 | Time: 6.56s
Epoch [126/10000] | C Loss: -1.3127 | G Loss: 312.0834 | Vol Loss: 0.0199 | Corr Loss: 0.4435 | Time: 6.55s
Epoch [127/10000] | C Loss: -1.2709 | G Loss: 324.3544 | Vol Loss: 0.0201 | Corr Loss: 0.4521 | Time: 6.53s
Epoch [128/10000] | C Loss: -1.1395 | G Loss: 332.3685 | Vol Loss: 0.0193 | Corr Loss: 0.4716 | Time: 6.54s
Epoch [129/10000] | C Loss: -1.2927 | G Loss: 319.8371 | Vol Loss: 0.0201 | Corr Loss: 0.4462 | Time: 6.54s
Epoch [130/10000] | C Loss: -1.3880 | G Loss: 319.7804 | Vol Loss: 0.0197 | Corr Loss: 0.4550 | Time: 6.55s
Epoch [131/10000] | C Loss: -1.2559 | G Loss: 310.2490 | Vol Loss: 0.0195 | Corr Loss: 0.4337 | Time: 6.56s
Epoch [132/10000] | C Loss: -1.2143 | G Loss: 335.7367 | Vol Loss: 0.0200 | Corr Loss: 0.4486 | Time: 6.54s
Epoch [133/10000] | C Loss: -1.2381 | G Loss: 311.0251 | Vol Loss: 0.0201 | Corr Loss: 0.4397 | Time: 6.55s
Epoch [134/10000] | C Loss: -1.2278 | G Loss: 293.3524 | Vol Loss: 0.0197 | Corr Loss: 0.4159 | Time: 6.54s
Epoch [135/10000] | C Loss: -1.1397 | G Loss: 297.9956 | Vol Loss: 0.0199 | Corr Loss: 0.3982 | Time: 6.55s
Epoch [136/10000] | C Loss: -1.2470 | G Loss: 333.4795 | Vol Loss: 0.0207 | Corr Loss: 0.4675 | Time: 6.54s
Epoch [137/10000] | C Loss: -1.2829 | G Loss: 319.5359 | Vol Loss: 0.0192 | Corr Loss: 0.4290 | Time: 6.56s
Epoch [138/10000] | C Loss: -1.2832 | G Loss: 321.5737 | Vol Loss: 0.0201 | Corr Loss: 0.4541 | Time: 6.54s
Epoch [139/10000] | C Loss: -1.2521 | G Loss: 303.2971 | Vol Loss: 0.0200 | Corr Loss: 0.4283 | Time: 6.55s
Epoch [140/10000] | C Loss: -1.2638 | G Loss: 308.1205 | Vol Loss: 0.0192 | Corr Loss: 0.4373 | Time: 6.54s
Epoch [141/10000] | C Loss: -1.1537 | G Loss: 285.8070 | Vol Loss: 0.0190 | Corr Loss: 0.3928 | Time: 6.55s
Epoch [142/10000] | C Loss: -1.1963 | G Loss: 316.9613 | Vol Loss: 0.0202 | Corr Loss: 0.4430 | Time: 6.56s
Epoch [143/10000] | C Loss: -1.3411 | G Loss: 305.3546 | Vol Loss: 0.0192 | Corr Loss: 0.4261 | Time: 6.55s
Epoch [144/10000] | C Loss: -1.2308 | G Loss: 321.8516 | Vol Loss: 0.0191 | Corr Loss: 0.4636 | Time: 6.55s
Epoch [145/10000] | C Loss: -1.2147 | G Loss: 336.6494 | Vol Loss: 0.0199 | Corr Loss: 0.4770 | Time: 6.53s
Epoch [146/10000] | C Loss: -1.2440 | G Loss: 302.7095 | Vol Loss: 0.0196 | Corr Loss: 0.4306 | Time: 6.55s
Epoch [147/10000] | C Loss: -1.1466 | G Loss: 316.9300 | Vol Loss: 0.0187 | Corr Loss: 0.4561 | Time: 6.54s
