--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [105/5000] | C Loss: -12.1080 | G Loss: 868.1908 | Style Loss: 1.5039 | Corr Loss: 0.4255 | Time: 6.62s
Epoch [106/5000] | C Loss: -12.1105 | G Loss: 829.6482 | Style Loss: 1.4213 | Corr Loss: 0.4170 | Time: 6.64s
Epoch [107/5000] | C Loss: -12.0714 | G Loss: 822.9460 | Style Loss: 1.3702 | Corr Loss: 0.4406 | Time: 6.60s
Epoch [108/5000] | C Loss: -12.2034 | G Loss: 925.0917 | Style Loss: 1.5444 | Corr Loss: 0.4936 | Time: 6.64s
Epoch [109/5000] | C Loss: -11.8475 | G Loss: 935.9784 | Style Loss: 1.6847 | Corr Loss: 0.4181 | Time: 6.63s
Epoch [110/5000] | C Loss: -12.1638 | G Loss: 848.6570 | Style Loss: 1.3960 | Corr Loss: 0.4649 | Time: 6.64s
Epoch [111/5000] | C Loss: -12.0426 | G Loss: 820.6796 | Style Loss: 1.4014 | Corr Loss: 0.4143 | Time: 6.63s
Epoch [112/5000] | C Loss: -12.3194 | G Loss: 878.8174 | Style Loss: 1.5354 | Corr Loss: 0.4226 | Time: 6.64s
Epoch [113/5000] | C Loss: -12.2525 | G Loss: 835.0422 | Style Loss: 1.4630 | Corr Loss: 0.3972 | Time: 6.63s
Epoch [114/5000] | C Loss: -12.2042 | G Loss: 855.3770 | Style Loss: 1.4800 | Corr Loss: 0.4197 | Time: 6.64s
Epoch [115/5000] | C Loss: -12.1540 | G Loss: 840.3813 | Style Loss: 1.4202 | Corr Loss: 0.4341 | Time: 6.62s
Epoch [116/5000] | C Loss: -12.2998 | G Loss: 886.2731 | Style Loss: 1.5564 | Corr Loss: 0.4197 | Time: 6.64s
Epoch [117/5000] | C Loss: -11.9333 | G Loss: 843.8428 | Style Loss: 1.4641 | Corr Loss: 0.4116 | Time: 6.62s
Epoch [118/5000] | C Loss: -12.0938 | G Loss: 830.4808 | Style Loss: 1.4044 | Corr Loss: 0.4289 | Time: 6.63s
Epoch [119/5000] | C Loss: -12.3124 | G Loss: 843.1860 | Style Loss: 1.4196 | Corr Loss: 0.4400 | Time: 6.58s
Epoch [120/5000] | C Loss: -12.3540 | G Loss: 920.3853 | Style Loss: 1.6321 | Corr Loss: 0.4272 | Time: 6.64s
Epoch [121/5000] | C Loss: -12.1204 | G Loss: 812.8066 | Style Loss: 1.3712 | Corr Loss: 0.4207 | Time: 6.63s
Epoch [122/5000] | C Loss: -11.8426 | G Loss: 840.7878 | Style Loss: 1.4260 | Corr Loss: 0.4326 | Time: 6.64s
Epoch [123/5000] | C Loss: -12.4679 | G Loss: 939.1779 | Style Loss: 1.5340 | Corr Loss: 0.5240 | Time: 6.59s
Epoch [124/5000] | C Loss: -12.1986 | G Loss: 817.7742 | Style Loss: 1.3206 | Corr Loss: 0.4631 | Time: 6.64s
Epoch [125/5000] | C Loss: -12.1741 | G Loss: 864.7434 | Style Loss: 1.4562 | Corr Loss: 0.4512 | Time: 6.61s
Epoch [126/5000] | C Loss: -12.2871 | G Loss: 907.7031 | Style Loss: 1.5509 | Corr Loss: 0.4598 | Time: 6.65s
